                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6871,                 1.7097,                 1.5969,                 1.8619,                  2.144,                 1.5455,                0.24112,                0.33218,                 0.1889,                0.07841,                 2.1647,                 2.2556,                 1.9979,                 2.2817,                 2.8548,                 1.8218,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.7026,                 1.6327,                 1.5747,                  1.906,                 2.0378,                 1.5041,                0.32067,                 0.3391,                  0.227,                0.08549,                 2.0287,                 2.3208,                 1.9621,                 2.1832,                 2.5748,                 1.8314,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.7539,                 1.6396,                 1.5813,                 1.9512,                 2.0589,                 1.5128,                0.36963,                0.34899,                0.26463,                0.11259,                 1.9674,                  2.035,                  1.832,                 2.1511,                 2.4279,                 1.7463,               0.001905,               0.001905,               0.001905
                     27,                 1.6629,                  1.661,                 1.5299,                 1.8538,                 2.0621,                 1.4729,                  0.294,                0.29066,                0.19157,                0.07844,                 2.0625,                 3.0032,                 1.9374,                 2.1889,                  3.685,                 1.8967,               0.001901,               0.001901,               0.001901
                     28,                 1.6664,                 1.6155,                 1.5392,                 1.8435,                 1.9841,                 1.5027,                0.29735,                0.30796,                0.21065,                0.09155,                 2.0566,                 2.2393,                 1.9485,                 2.1174,                 2.5675,                  1.813,               0.001897,               0.001897,               0.001897
                     29,                 1.5994,                 1.5431,                 1.5629,                 1.7752,                 1.9071,                 1.5423,                0.27884,                0.40138,                0.23337,                0.09624,                 1.9841,                 2.4353,                 1.9318,                 2.1312,                  2.718,                 1.7901,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.6485,                 1.5746,                 1.5235,                 1.8822,                 1.9216,                 1.4856,                0.36009,                0.30796,                0.23283,                0.08499,                 2.0187,                 2.4848,                 1.9224,                 2.1299,                 2.8163,                 1.7732,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.6082,                 1.5375,                 1.5533,                 1.7873,                  1.903,                 1.5028,                0.30544,                 0.4083,                0.25863,                0.10418,                 1.8862,                 2.0936,                 1.8002,                 2.0191,                 2.3811,                 1.6655,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.6337,                 1.5159,                 1.5353,                 1.7945,                 1.8772,                 1.4564,                0.35139,                0.38754,                0.27395,                0.11098,                 1.9249,                 2.1732,                 1.8415,                 2.0544,                 2.5414,                 1.6931,              0.0018812,              0.0018812,              0.0018812
                     33,                  1.605,                 1.5583,                 1.4862,                  1.804,                 1.8977,                 1.4517,                0.39015,                0.44495,                0.34078,                0.14541,                 1.8778,                 2.0109,                 1.8366,                 2.0299,                 2.0628,                  1.728,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.5678,                 1.4243,                 1.4607,                  1.795,                 1.8056,                 1.4326,                  0.429,                  0.391,                0.32616,                0.14115,                 1.7442,                 1.8584,                 1.7156,                 1.9483,                 2.0964,                 1.6617,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.5518,                 1.5048,                 1.5103,                 1.7532,                 1.8596,                 1.4608,                0.33751,                0.42561,                0.29789,                0.12339,                 1.9461,                 1.8617,                 1.8853,                 1.9906,                 2.1528,                 1.7663,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.5459,                 1.4476,                 1.4569,                 1.7287,                 1.7713,                 1.4167,                0.42453,                0.37024,                0.29201,                0.12183,                 1.9849,                 2.0283,                 1.8995,                 2.1385,                 2.2905,                 1.7899,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.5308,                 1.4278,                  1.449,                 1.7717,                 1.7723,                 1.4127,                0.37114,                0.42907,                0.31212,                0.13587,                 1.8276,                 1.9125,                 1.7395,                 1.9537,                 2.1308,                 1.6783,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.5123,                 1.3933,                 1.4432,                  1.707,                 1.7604,                 1.3953,                0.45316,                0.34602,                0.32748,                0.14554,                 1.8015,                 1.8737,                 1.7061,                 1.8982,                 2.2484,                 1.6193,              0.0018574,              0.0018574,              0.0018574
                     39,                  1.506,                  1.355,                 1.4376,                 1.7325,                  1.723,                 1.4051,                0.42607,                0.41522,                0.35079,                0.16008,                 1.7507,                 1.6912,                 1.6634,                 1.8483,                 2.1072,                 1.5645,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.4088,                 1.3055,                  1.374,                 1.6382,                 1.6525,                 1.3552,                0.47145,                0.36111,                0.32333,                0.14663,                 1.9184,                 1.8619,                 1.8501,                 1.9983,                 2.1459,                 1.6925,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.4776,                 1.3377,                  1.435,                 1.7144,                 1.6394,                 1.3936,                0.41891,                0.39446,                0.33795,                0.15091,                 1.8689,                 1.8461,                  1.841,                 1.9695,                 2.2368,                 1.7051,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.4772,                  1.382,                 1.4332,                 1.7112,                 1.6825,                  1.403,                0.44873,                0.38062,                 0.3105,                0.13283,                 1.8645,                 2.1289,                 1.7857,                 1.9932,                  2.369,                 1.6658,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.4203,                  1.319,                 1.4046,                 1.6392,                 1.6195,                  1.382,                0.41119,                0.36332,                0.31161,                0.13857,                 1.8497,                 1.8216,                 1.8153,                 1.9695,                  2.189,                 1.6606,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.4586,                 1.3564,                 1.4095,                 1.6817,                 1.6719,                 1.3883,                 0.5101,                0.37716,                0.37481,                0.16764,                 1.7319,                 1.7754,                 1.6886,                 1.9151,                 2.0262,                 1.6151,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3871,                  1.264,                 1.3593,                 1.6469,                 1.6111,                 1.3571,                 0.4085,                0.43945,                0.31352,                0.13882,                 1.9495,                  2.001,                 1.8877,                 2.0717,                 2.1382,                 1.7807,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.3917,                 1.2607,                 1.3874,                 1.6154,                 1.5167,                 1.3826,                 0.4406,                0.40608,                0.34201,                0.13869,                 1.8914,                 1.9548,                 1.8478,                  2.091,                  2.096,                 1.7678,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.3756,                 1.2664,                 1.3572,                 1.6025,                 1.6044,                 1.3473,                0.47324,                 0.4083,                0.33989,                0.15705,                 1.8715,                 1.8111,                 1.8003,                 2.0274,                 2.0454,                 1.7197,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.3861,                 1.2909,                 1.3777,                 1.6135,                 1.5785,                 1.3572,                0.39275,                 0.3737,                0.29427,                0.13492,                 1.9551,                 1.8019,                 1.8552,                 2.0633,                 2.1358,                 1.7589,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.3616,                 1.2083,                  1.369,                 1.5742,                 1.5344,                 1.3374,                0.44664,                0.41522,                0.36149,                0.17236,                 1.7983,                 1.7861,                 1.7466,                 1.9567,                 2.0387,                 1.6549,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.3833,                 1.2249,                 1.3612,                 1.5985,                 1.5337,                 1.3311,                0.43806,                 0.4083,                0.34957,                0.15828,                 1.8996,                 1.8324,                 1.8074,                 1.9389,                 2.0518,                 1.6846,              0.0018099,              0.0018099,              0.0018099
