                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.7341,                 1.6956,                  1.609,                 1.9148,                 2.0528,                 1.5625,                0.21768,                0.23183,                0.12241,                0.04823,                 2.1426,                 8.6426,                 2.2774,                 2.3431,                 6.8238,                 2.2645,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.6889,                 1.6122,                 1.5676,                 1.8988,                 1.9879,                 1.5226,                0.10621,                0.13939,                0.05334,                0.02091,                 2.2906,                 12.264,                 2.4069,                 2.5461,                 6.2439,                 2.3534,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.6207,                 1.5564,                 1.5296,                 1.8401,                 1.9326,                 1.4644,                 0.1225,                0.22491,                0.07446,                0.03048,                 2.2455,                  9.178,                 2.4754,                 2.3718,                 7.5509,                 2.2604,               0.001905,               0.001905,               0.001905
                     27,                 1.6389,                 1.6442,                 1.5614,                 1.8774,                 1.9977,                 1.5221,                0.26998,                0.18556,                0.12813,                0.04923,                 2.3929,                 4.8386,                  2.498,                 2.4622,                 4.2423,                  2.351,               0.001901,               0.001901,               0.001901
                     28,                 1.6746,                 1.6196,                 1.5735,                  1.902,                 1.9931,                 1.5292,                0.23658,                0.23875,                 0.1327,                0.05134,                 2.0631,                 6.3681,                 2.3098,                  2.305,                 5.2742,                 2.3005,               0.001897,               0.001897,               0.001897
                     29,                 1.6351,                  1.549,                 1.5616,                 1.8491,                 1.9052,                 1.5032,                0.20262,                0.33218,                 0.1676,                 0.0608,                 2.3161,                 6.3571,                 2.4451,                 2.3512,                 4.9882,                 2.1508,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.6749,                 1.5426,                 1.5584,                 1.8872,                 1.9055,                 1.5043,                0.25261,                0.23183,                0.16179,                0.06427,                  2.184,                 6.4129,                 2.2794,                 2.3484,                 6.5419,                 2.1605,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.5721,                  1.511,                 1.4824,                 1.7846,                  1.839,                 1.4407,                0.25776,                 0.3391,                0.19504,                0.06602,                 2.1892,                 6.4819,                 2.3541,                 2.4542,                 4.8739,                   2.37,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.5615,                 1.4969,                 1.4935,                 1.7816,                 1.8401,                 1.4685,                0.23085,                0.31142,                0.16985,                0.05779,                 2.0971,                 6.1258,                 2.2632,                 2.3351,                 3.8081,                 2.2834,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.5752,                 1.4747,                 1.5025,                 1.7969,                  1.899,                 1.4472,                0.20846,                0.31488,                0.15329,                0.05537,                  2.293,                 11.315,                 2.4484,                 2.4708,                 8.2617,                 2.3486,              0.0018772,              0.0018772,              0.0018772
