                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.2719,                  2.592,                 1.9101,                 2.1658,                 2.8749,                 1.7595,                0.00028,                0.58478,                0.06436,                0.02439,                0.07792,                 3.4719,                0.07023,                0.07526,                 1.3748,                0.06484,              0.0097822,              0.0097822,              0.0097822
                     25,                 2.1668,                  2.452,                 1.8553,                 2.0626,                 2.7378,                 1.6896,                 0.0199,                0.45675,                0.03852,                0.01322,                0.07778,                 22.512,                0.07006,                0.07525,                 5.5489,                0.06274,              0.0097723,              0.0097723,              0.0097723
                     26,                 2.2031,                 2.5261,                 1.8664,                 2.0811,                 2.7195,                 1.7037,                0.00032,                 0.6782,                0.05429,                0.02154,                 0.0744,                 12.352,                0.06734,                 0.0743,                 3.5999,                0.06282,              0.0097624,              0.0097624,              0.0097624
                     27,                 2.0724,                 2.5135,                 1.7022,                 1.9003,                 2.6155,                 1.5396,                0.00026,                0.55709,                 0.0205,                0.00622,                0.07823,                 5.6837,                0.06947,                0.07475,                 1.6638,                0.06258,              0.0097525,              0.0097525,              0.0097525
                     28,                 2.0962,                 2.4951,                 1.7736,                 2.0224,                 2.7866,                 1.6374,                0.04622,                0.23875,                0.04567,                0.01806,                0.07525,                   4.75,                0.06842,                0.07485,                 1.6545,                  0.061,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.0999,                 2.3627,                 1.7767,                 2.0068,                  2.579,                 1.6562,                0.10473,                0.03114,                 0.0435,                0.01266,                0.07073,                 9.5057,                0.06543,                0.07536,                 2.2461,                0.06219,              0.0097327,              0.0097327,              0.0097327
                     30,                 2.1888,                 2.4701,                 1.8431,                 2.0986,                 2.7524,                 1.6949,                0.05236,                0.30104,                0.04975,                0.01839,                0.07329,                  4.476,                0.06672,                0.07348,                 1.6955,                0.05991,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.1346,                 2.5052,                  1.841,                 2.0022,                 2.6865,                 1.6551,                0.03139,                0.38062,                0.05167,                0.01716,                0.07337,                 9.3508,                 0.0687,                0.07274,                 3.0924,                0.06216,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.1988,                 2.4622,                 1.8714,                 2.1267,                 2.7174,                 1.7208,                0.02089,                0.48789,                0.05795,                0.02232,                0.07151,                 6.3135,                0.06513,                0.07285,                 2.1799,                0.06049,               0.009703,               0.009703,               0.009703
                     33,                 2.0082,                 2.2984,                 1.7336,                 1.9446,                 2.5756,                 1.6235,                0.03986,                0.31488,                0.05334,                0.02381,                 0.0738,                 9.7309,                0.06832,                0.07208,                 3.6696,                0.06123,              0.0096931,              0.0096931,              0.0096931
