epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15287.2,1.35722,1.14097,1.30947,0.68479,0.6063,0.652,0.42085,2.28975,1.33241,2.46791,0.00979705,0.00979705,0.00979705
43,15659,1.35556,1.13745,1.30699,0.68586,0.60689,0.65284,0.42133,2.28831,1.33027,2.46522,0.0097921,0.0097921,0.0097921
44,16035.9,1.34776,1.13441,1.30072,0.68494,0.60766,0.65332,0.42187,2.28696,1.32781,2.46452,0.00978715,0.00978715,0.00978715
45,16458.8,1.34255,1.13258,1.29793,0.68686,0.60596,0.65354,0.4225,2.28537,1.32605,2.46096,0.0097822,0.0097822,0.0097822
46,16858.1,1.33893,1.1246,1.29523,0.6875,0.60707,0.65413,0.42301,2.28341,1.32406,2.45816,0.00977725,0.00977725,0.00977725
47,17221.9,1.34069,1.12498,1.29415,0.68743,0.60719,0.65435,0.4235,2.28165,1.32217,2.45365,0.0097723,0.0097723,0.0097723
48,17585.2,1.34048,1.12478,1.29692,0.68861,0.60674,0.65491,0.424,2.28013,1.32116,2.45157,0.00976735,0.00976735,0.00976735
49,17951.1,1.3334,1.12108,1.29009,0.68868,0.60583,0.65531,0.42449,2.27843,1.3196,2.4484,0.0097624,0.0097624,0.0097624
50,18326,1.3299,1.11907,1.28844,0.68906,0.60604,0.65617,0.42499,2.27677,1.31808,2.44538,0.00975745,0.00975745,0.00975745
51,18694.8,1.33176,1.1201,1.28977,0.68938,0.60621,0.65651,0.42551,2.2756,1.31704,2.44268,0.0097525,0.0097525,0.0097525
52,19053.6,1.32448,1.11242,1.28408,0.68983,0.60625,0.65701,0.42595,2.27433,1.3155,2.43904,0.00974755,0.00974755,0.00974755
53,19414.6,1.32558,1.11456,1.28498,0.69087,0.60529,0.65737,0.42635,2.27307,1.31382,2.4347,0.0097426,0.0097426,0.0097426
54,19766.4,1.31857,1.10667,1.27991,0.69192,0.60562,0.65774,0.42683,2.2716,1.31242,2.43104,0.00973765,0.00973765,0.00973765
55,20121.8,1.31433,1.1034,1.27994,0.69139,0.60651,0.65822,0.42748,2.27026,1.31125,2.4272,0.0097327,0.0097327,0.0097327
56,20477.5,1.31162,1.10281,1.27874,0.69107,0.60732,0.65883,0.42789,2.26855,1.30979,2.42275,0.00972775,0.00972775,0.00972775
57,20837.5,1.3145,1.10132,1.27932,0.69176,0.60659,0.65912,0.42827,2.26739,1.30868,2.41961,0.0097228,0.0097228,0.0097228
58,21198,1.31057,1.09751,1.27777,0.69247,0.60699,0.65954,0.4288,2.26568,1.3073,2.41431,0.00971785,0.00971785,0.00971785
59,21558.9,1.31011,1.09823,1.27759,0.69215,0.60751,0.65977,0.42926,2.2647,1.3059,2.41222,0.0097129,0.0097129,0.0097129
60,21915,1.3092,1.09619,1.27648,0.69267,0.60779,0.66028,0.42967,2.26301,1.30418,2.40969,0.00970795,0.00970795,0.00970795
61,22276.2,1.30291,1.09073,1.27117,0.69329,0.60753,0.66045,0.42994,2.26157,1.30302,2.4074,0.009703,0.009703,0.009703
62,22660.5,1.30154,1.09314,1.26787,0.69354,0.60831,0.66072,0.43051,2.26023,1.30187,2.40285,0.00969805,0.00969805,0.00969805
63,23023.3,1.29785,1.0908,1.2702,0.6947,0.6077,0.66097,0.43098,2.25887,1.30047,2.3975,0.0096931,0.0096931,0.0096931
64,23383.7,1.29784,1.08726,1.26862,0.6951,0.60783,0.66145,0.43145,2.25739,1.29929,2.39399,0.00968815,0.00968815,0.00968815
65,23743,1.29435,1.08261,1.26652,0.69494,0.60846,0.66156,0.43161,2.2559,1.29795,2.39084,0.0096832,0.0096832,0.0096832
66,24095.4,1.29124,1.07947,1.26355,0.69489,0.60906,0.66187,0.43205,2.25452,1.29668,2.3872,0.00967825,0.00967825,0.00967825
67,24469.1,1.29045,1.07913,1.26055,0.69571,0.6091,0.66219,0.43237,2.2532,1.2957,2.3826,0.0096733,0.0096733,0.0096733
68,24822.5,1.29039,1.07981,1.26445,0.69202,0.6123,0.66245,0.4327,2.25189,1.29488,2.37762,0.00966835,0.00966835,0.00966835
69,25184.7,1.29057,1.08179,1.26296,0.69335,0.61161,0.66272,0.43307,2.25076,1.29363,2.37373,0.0096634,0.0096634,0.0096634
70,25518.6,1.28508,1.07609,1.25883,0.69642,0.6097,0.66307,0.43363,2.24964,1.29227,2.37225,0.00965845,0.00965845,0.00965845
71,25855.5,1.2833,1.07647,1.2593,0.6996,0.60804,0.66327,0.43396,2.24777,1.29106,2.36734,0.0096535,0.0096535,0.0096535
72,26194.7,1.28666,1.07877,1.26124,0.69873,0.6094,0.66349,0.43428,2.24626,1.28963,2.36444,0.00964855,0.00964855,0.00964855
73,26528.2,1.28123,1.07487,1.25857,0.69836,0.61029,0.66352,0.43477,2.24521,1.28881,2.36198,0.0096436,0.0096436,0.0096436
74,26865.3,1.28284,1.07133,1.25843,0.69901,0.61059,0.66381,0.43514,2.24416,1.28745,2.3603,0.00963865,0.00963865,0.00963865
75,27200.3,1.27996,1.0722,1.25817,0.70027,0.6103,0.66421,0.43555,2.24299,1.28652,2.35657,0.0096337,0.0096337,0.0096337
76,27532.8,1.27779,1.07089,1.2552,0.70136,0.60987,0.6646,0.43598,2.24172,1.28555,2.35384,0.00962875,0.00962875,0.00962875
77,27861.8,1.27435,1.06317,1.25161,0.70118,0.61115,0.66517,0.43641,2.24043,1.28467,2.35092,0.0096238,0.0096238,0.0096238
78,28195.8,1.27342,1.06899,1.25311,0.70043,0.61157,0.66551,0.43674,2.23909,1.28367,2.3485,0.00961885,0.00961885,0.00961885
79,28535.7,1.2672,1.05983,1.24692,0.69912,0.61255,0.66597,0.43718,2.23776,1.28242,2.34645,0.0096139,0.0096139,0.0096139
80,28878.9,1.27223,1.06684,1.25185,0.69998,0.61153,0.66623,0.43747,2.23663,1.28079,2.34263,0.00960895,0.00960895,0.00960895
81,29219.3,1.26644,1.06083,1.2482,0.69925,0.61219,0.66633,0.43781,2.23541,1.28012,2.34001,0.009604,0.009604,0.009604
82,29549.5,1.2672,1.05947,1.24792,0.69875,0.61262,0.66671,0.4383,2.23423,1.27913,2.33791,0.00959905,0.00959905,0.00959905
83,29875.8,1.26761,1.06282,1.24801,0.69742,0.61417,0.66722,0.43879,2.2325,1.27767,2.33558,0.0095941,0.0095941,0.0095941
84,30213.5,1.26291,1.05661,1.24608,0.69712,0.61417,0.66736,0.43891,2.23151,1.27649,2.33288,0.00958915,0.00958915,0.00958915
85,30543.3,1.26475,1.05621,1.24417,0.69871,0.61378,0.66748,0.43935,2.23078,1.27568,2.33046,0.0095842,0.0095842,0.0095842
86,30877,1.26298,1.05631,1.24489,0.69947,0.61383,0.66802,0.43968,2.22936,1.27501,2.3278,0.00957925,0.00957925,0.00957925
87,31213.9,1.2617,1.05615,1.24474,0.69749,0.61533,0.66839,0.44015,2.22823,1.27428,2.32484,0.0095743,0.0095743,0.0095743
88,31567.1,1.26185,1.05134,1.24617,0.69678,0.61651,0.66868,0.44072,2.2268,1.27329,2.32362,0.00956935,0.00956935,0.00956935
89,31920.3,1.25868,1.05038,1.24045,0.69787,0.61606,0.66905,0.44127,2.22537,1.27248,2.32164,0.0095644,0.0095644,0.0095644
90,32258.9,1.25544,1.04952,1.23951,0.69621,0.6174,0.66944,0.44168,2.22419,1.27137,2.31911,0.00955945,0.00955945,0.00955945
91,32590.5,1.25451,1.04748,1.23786,0.69519,0.61731,0.66946,0.44209,2.22322,1.27054,2.31773,0.0095545,0.0095545,0.0095545
92,32918.8,1.25274,1.04729,1.24064,0.69482,0.61834,0.66962,0.44221,2.22247,1.26982,2.31647,0.00954955,0.00954955,0.00954955
93,33247,1.25435,1.04925,1.24028,0.69572,0.61825,0.66958,0.44251,2.22164,1.26895,2.31531,0.0095446,0.0095446,0.0095446
94,33578.1,1.24992,1.04501,1.23863,0.69536,0.6185,0.66969,0.44276,2.221,1.26763,2.31575,0.00953965,0.00953965,0.00953965
95,33916.5,1.24806,1.04647,1.23793,0.69579,0.61889,0.67005,0.44302,2.21971,1.26659,2.31407,0.0095347,0.0095347,0.0095347
96,34252.7,1.25129,1.04365,1.23758,0.69492,0.61982,0.67015,0.44328,2.21861,1.26519,2.31215,0.00952975,0.00952975,0.00952975
97,34583.9,1.24699,1.04028,1.23582,0.69481,0.62017,0.6707,0.44356,2.21778,1.26454,2.31104,0.0095248,0.0095248,0.0095248
98,34915.3,1.24759,1.03925,1.23556,0.6942,0.6216,0.67106,0.44399,2.21655,1.2634,2.31075,0.00951985,0.00951985,0.00951985
99,35246.9,1.24906,1.04743,1.23817,0.6922,0.62221,0.67144,0.44438,2.21569,1.26296,2.31155,0.0095149,0.0095149,0.0095149
100,35581,1.24595,1.04035,1.23472,0.69297,0.62221,0.67152,0.44451,2.21505,1.26178,2.31,0.00950995,0.00950995,0.00950995
101,35918.9,1.2459,1.03301,1.22996,0.6914,0.62268,0.67188,0.44473,2.21422,1.26115,2.30895,0.009505,0.009505,0.009505
102,36253.1,1.24356,1.0398,1.23336,0.69181,0.62237,0.67226,0.44508,2.21354,1.26069,2.30944,0.00950005,0.00950005,0.00950005
103,36603.3,1.24346,1.04002,1.23412,0.69213,0.62273,0.67234,0.44529,2.21228,1.26051,2.30784,0.0094951,0.0094951,0.0094951
104,36942.3,1.24235,1.0357,1.22971,0.69252,0.62229,0.67246,0.44558,2.2108,1.26005,2.3061,0.00949015,0.00949015,0.00949015
105,37277.5,1.24389,1.03712,1.23341,0.6918,0.62314,0.67276,0.44566,2.21026,1.25981,2.30564,0.0094852,0.0094852,0.0094852
106,37612.4,1.23554,1.03048,1.22862,0.6926,0.62327,0.67299,0.44597,2.20962,1.25924,2.30429,0.00948025,0.00948025,0.00948025
107,37943.6,1.23566,1.03386,1.2272,0.69327,0.62323,0.67329,0.44606,2.20921,1.25855,2.30226,0.0094753,0.0094753,0.0094753
108,38273.6,1.24233,1.0365,1.23256,0.69028,0.62582,0.67338,0.44662,2.20854,1.2579,2.29964,0.00947035,0.00947035,0.00947035
109,38604.4,1.23965,1.03358,1.23019,0.69182,0.62519,0.67359,0.4468,2.20718,1.2574,2.29687,0.0094654,0.0094654,0.0094654
110,38934.8,1.23301,1.02826,1.22695,0.69089,0.62659,0.67373,0.44691,2.20669,1.25679,2.2966,0.00946045,0.00946045,0.00946045
111,39270.2,1.23374,1.03038,1.22764,0.69082,0.62663,0.67391,0.44721,2.20599,1.25611,2.29728,0.0094555,0.0094555,0.0094555
112,39604.3,1.23227,1.02659,1.22616,0.69149,0.62633,0.67409,0.44741,2.20524,1.25551,2.29697,0.00945055,0.00945055,0.00945055
113,39949.4,1.22887,1.02608,1.22454,0.69175,0.62698,0.67442,0.44773,2.20444,1.25507,2.29665,0.0094456,0.0094456,0.0094456
114,40289,1.23091,1.02851,1.22464,0.6914,0.62766,0.67477,0.44796,2.20388,1.25431,2.29627,0.00944065,0.00944065,0.00944065
115,40641.6,1.23116,1.02888,1.22664,0.69236,0.6274,0.67478,0.44815,2.20342,1.25378,2.29724,0.0094357,0.0094357,0.0094357
116,40967.2,1.22755,1.02407,1.22463,0.69221,0.62829,0.67483,0.44821,2.2028,1.25325,2.29773,0.00943075,0.00943075,0.00943075
117,41298,1.22736,1.0202,1.2224,0.69048,0.62825,0.67482,0.44832,2.20251,1.25282,2.29865,0.0094258,0.0094258,0.0094258
118,41629,1.22977,1.02467,1.22613,0.69004,0.62829,0.67526,0.4486,2.20233,1.25249,2.29949,0.00942085,0.00942085,0.00942085
119,41963,1.22589,1.0231,1.22308,0.68907,0.62893,0.67548,0.44868,2.20203,1.25218,2.30037,0.0094159,0.0094159,0.0094159
120,42307.1,1.22143,1.02023,1.22022,0.68893,0.62889,0.67522,0.44885,2.20079,1.25174,2.29967,0.00941095,0.00941095,0.00941095
121,42650.4,1.22217,1.02094,1.21925,0.69099,0.6271,0.67547,0.44909,2.20022,1.25137,2.30016,0.009406,0.009406,0.009406
122,42981.3,1.22393,1.02058,1.22149,0.68994,0.62791,0.67532,0.4492,2.19933,1.25151,2.29965,0.00940105,0.00940105,0.00940105
123,43319.4,1.22465,1.02106,1.21997,0.6893,0.62821,0.67544,0.4492,2.19828,1.25125,2.29887,0.0093961,0.0093961,0.0093961
124,43658.3,1.22151,1.01735,1.21951,0.69071,0.62719,0.67578,0.44944,2.19738,1.25135,2.29936,0.00939115,0.00939115,0.00939115
125,43995.6,1.22389,1.02195,1.22124,0.69069,0.62838,0.67603,0.44949,2.19665,1.25101,2.30035,0.0093862,0.0093862,0.0093862
126,44335,1.21885,1.0158,1.2178,0.69055,0.6277,0.67587,0.44961,2.19562,1.25107,2.30124,0.00938125,0.00938125,0.00938125
127,44668.2,1.22094,1.01947,1.21793,0.69002,0.62797,0.67607,0.44988,2.19496,1.25125,2.30177,0.0093763,0.0093763,0.0093763
128,45002.3,1.21968,1.01664,1.21664,0.68991,0.62787,0.67606,0.45008,2.19438,1.25097,2.30139,0.00937135,0.00937135,0.00937135
129,45344.7,1.21962,1.01431,1.21641,0.68958,0.6288,0.67634,0.4502,2.19419,1.25135,2.30371,0.0093664,0.0093664,0.0093664
130,45689.4,1.21887,1.01678,1.21574,0.68851,0.62914,0.67618,0.4505,2.19391,1.25141,2.30592,0.00936145,0.00936145,0.00936145
131,46040.6,1.21859,1.01867,1.21851,0.68802,0.62995,0.67635,0.45064,2.19301,1.25147,2.30625,0.0093565,0.0093565,0.0093565
132,46399.4,1.21668,1.01584,1.21519,0.68798,0.62954,0.67629,0.45074,2.19266,1.25151,2.308,0.00935155,0.00935155,0.00935155
133,46745.4,1.21808,1.01377,1.2185,0.6893,0.62999,0.67672,0.45106,2.19106,1.25178,2.30531,0.0093466,0.0093466,0.0093466
134,47110,1.21704,1.01658,1.21655,0.68897,0.63063,0.67705,0.45113,2.19063,1.25225,2.30426,0.00934165,0.00934165,0.00934165
135,47458.6,1.21492,1.01115,1.21422,0.69043,0.63055,0.6771,0.45118,2.19017,1.25226,2.30375,0.0093367,0.0093367,0.0093367
136,47796.1,1.2132,1.00837,1.21451,0.68883,0.63157,0.67732,0.45124,2.18998,1.2525,2.30383,0.00933175,0.00933175,0.00933175
137,48131.1,1.21314,1.00973,1.21555,0.69002,0.63063,0.67744,0.45142,2.19007,1.25304,2.30428,0.0093268,0.0093268,0.0093268
138,48470.8,1.2137,1.00946,1.2148,0.6899,0.6308,0.6773,0.45139,2.1901,1.25316,2.30421,0.00932185,0.00932185,0.00932185
139,48811.7,1.21458,1.01051,1.21444,0.68889,0.63182,0.6776,0.45163,2.18971,1.25297,2.30576,0.0093169,0.0093169,0.0093169
140,49158.5,1.21215,1.00968,1.2149,0.68881,0.6315,0.67749,0.45161,2.18942,1.25319,2.30734,0.00931195,0.00931195,0.00931195
141,49532.6,1.21393,1.01158,1.21438,0.68912,0.63177,0.67785,0.45185,2.18885,1.25355,2.30848,0.009307,0.009307,0.009307
142,49872.7,1.20914,1.00945,1.21192,0.68822,0.63229,0.67761,0.45197,2.18849,1.25366,2.30993,0.00930205,0.00930205,0.00930205
143,50219.5,1.2106,1.00813,1.21331,0.68747,0.63292,0.67765,0.45195,2.18802,1.25391,2.31065,0.0092971,0.0092971,0.0092971
144,50559.2,1.2069,1.00413,1.20984,0.68638,0.63369,0.67783,0.45218,2.18774,1.25419,2.31136,0.00929215,0.00929215,0.00929215
145,50895.4,1.20929,1.00551,1.21045,0.68658,0.63438,0.67783,0.45225,2.18737,1.2546,2.31209,0.0092872,0.0092872,0.0092872
146,51237.4,1.21125,1.00744,1.21304,0.68651,0.63518,0.67794,0.45249,2.18663,1.25466,2.31159,0.00928225,0.00928225,0.00928225
147,51570.3,1.2093,1.008,1.21217,0.68802,0.63395,0.67819,0.45265,2.1868,1.25536,2.31319,0.0092773,0.0092773,0.0092773
148,51904,1.20571,1.0083,1.21194,0.68766,0.63441,0.67818,0.4527,2.18672,1.25543,2.3143,0.00927235,0.00927235,0.00927235
149,52243.9,1.20758,1.00251,1.20904,0.68777,0.63434,0.67873,0.45278,2.18627,1.25617,2.31487,0.0092674,0.0092674,0.0092674
150,52590.6,1.20088,0.99975,1.20653,0.68734,0.63433,0.67855,0.45285,2.18572,1.25588,2.31505,0.00926245,0.00926245,0.00926245
151,52941.4,1.20679,1.00442,1.20788,0.68798,0.63438,0.67877,0.45298,2.18534,1.25563,2.31536,0.0092575,0.0092575,0.0092575
152,53279.7,1.20619,1.00387,1.20932,0.68874,0.63412,0.67913,0.45317,2.185,1.25552,2.31665,0.00925255,0.00925255,0.00925255
153,53633.7,1.20513,1.00075,1.20633,0.6885,0.63455,0.67902,0.45319,2.18462,1.25582,2.31617,0.0092476,0.0092476,0.0092476
154,53984.3,1.20125,0.9966,1.20465,0.68774,0.63484,0.6792,0.45328,2.18428,1.25574,2.31629,0.00924265,0.00924265,0.00924265
155,54327.2,1.20129,0.99487,1.20628,0.6875,0.63561,0.67928,0.4532,2.18345,1.25713,2.31624,0.0092377,0.0092377,0.0092377
156,54674.4,1.20223,1.00353,1.20735,0.6877,0.63484,0.67909,0.45312,2.18351,1.25661,2.31642,0.00923275,0.00923275,0.00923275
157,55026,1.20178,0.99752,1.20453,0.68828,0.63463,0.67889,0.4532,2.18291,1.25695,2.31637,0.0092278,0.0092278,0.0092278
158,55363.8,1.2023,1.00115,1.20863,0.68789,0.63489,0.67891,0.45316,2.18241,1.25685,2.31661,0.00922285,0.00922285,0.00922285
159,55696.5,1.19954,0.99252,1.20464,0.68825,0.63512,0.6789,0.45316,2.18269,1.25724,2.31645,0.0092179,0.0092179,0.0092179
160,56030,1.19599,0.99281,1.20239,0.68809,0.63535,0.67874,0.45341,2.18286,1.257,2.31661,0.00921295,0.00921295,0.00921295
161,56377.2,1.19714,0.99538,1.20397,0.68788,0.63599,0.67897,0.45345,2.18278,1.25691,2.31617,0.009208,0.009208,0.009208
162,56707.3,1.19947,0.9965,1.20527,0.68752,0.63603,0.67877,0.45332,2.18244,1.2571,2.31647,0.00920305,0.00920305,0.00920305
163,57046.7,1.19685,0.99303,1.20259,0.68774,0.63642,0.67904,0.45353,2.18217,1.25674,2.31644,0.0091981,0.0091981,0.0091981
164,57392.8,1.19456,0.99761,1.20341,0.68687,0.63646,0.67868,0.45346,2.18191,1.25674,2.31635,0.00919315,0.00919315,0.00919315
165,57734.5,1.19731,0.99347,1.20134,0.6878,0.63547,0.67883,0.45374,2.1817,1.25641,2.31725,0.0091882,0.0091882,0.0091882
166,58078.8,1.19719,0.99255,1.20296,0.68766,0.63581,0.67923,0.45369,2.1815,1.25564,2.31805,0.00918325,0.00918325,0.00918325
167,58430.8,1.19308,0.99091,1.19953,0.6873,0.63595,0.67915,0.45397,2.18129,1.25511,2.31904,0.0091783,0.0091783,0.0091783
168,58768.8,1.19613,0.99403,1.20137,0.68716,0.63555,0.67887,0.45381,2.18102,1.2555,2.31856,0.00917335,0.00917335,0.00917335
169,59113.8,1.19457,0.98947,1.20084,0.69052,0.63365,0.67889,0.45369,2.181,1.25549,2.32032,0.0091684,0.0091684,0.0091684
170,59454.8,1.19349,0.99111,1.20021,0.68876,0.63421,0.67843,0.45382,2.18036,1.25535,2.32085,0.00916345,0.00916345,0.00916345
171,59805.4,1.19124,0.98724,1.19913,0.68773,0.63523,0.67879,0.4541,2.18027,1.25599,2.32048,0.0091585,0.0091585,0.0091585
172,60143.4,1.19586,0.98981,1.20394,0.6883,0.6349,0.67848,0.45389,2.18023,1.2563,2.32059,0.00915355,0.00915355,0.00915355
173,60480.3,1.19077,0.99114,1.20164,0.68845,0.6348,0.67877,0.45404,2.18059,1.25706,2.32032,0.0091486,0.0091486,0.0091486
174,60820.1,1.19417,0.99183,1.20199,0.68813,0.63506,0.67891,0.45404,2.18045,1.25754,2.31953,0.00914365,0.00914365,0.00914365
175,61166.5,1.19251,0.98673,1.19853,0.68761,0.63484,0.67892,0.4541,2.18063,1.25771,2.32018,0.0091387,0.0091387,0.0091387
176,61504.5,1.19492,0.98894,1.19961,0.68759,0.63514,0.67888,0.45428,2.18007,1.25835,2.31987,0.00913375,0.00913375,0.00913375
177,61852.8,1.19045,0.98872,1.20115,0.68964,0.63348,0.67925,0.45412,2.1802,1.25911,2.3193,0.0091288,0.0091288,0.0091288
178,62191.9,1.18915,0.98593,1.19686,0.68925,0.63374,0.67904,0.45424,2.18034,1.25898,2.31867,0.00912385,0.00912385,0.00912385
179,62550.9,1.19105,0.98697,1.19948,0.68735,0.6348,0.67878,0.45406,2.1801,1.25924,2.32092,0.0091189,0.0091189,0.0091189
180,62896.5,1.19221,0.98719,1.19813,0.68632,0.63493,0.67906,0.45418,2.1804,1.25952,2.32292,0.00911395,0.00911395,0.00911395
