                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.2412,                 2.3885,                 1.9755,                 2.2229,                  2.842,                 1.7527,                0.25593,                 0.0692,                0.07974,                0.02862,                0.06909,                 20.656,                0.06401,                0.07092,                 4.9416,                0.05752,              0.0097822,              0.0097822,              0.0097822
                     25,                 2.3282,                 2.4262,                 1.9507,                 2.3304,                 2.8883,                 1.7803,                0.07757,                0.11073,                0.02705,                0.01096,                0.07418,                 59.301,                0.06692,                0.07211,                 12.681,                0.05949,              0.0097723,              0.0097723,              0.0097723
                     26,                 2.2191,                 2.4887,                 1.9364,                 2.2006,                  2.902,                 1.7914,                0.14873,                0.08997,                0.05101,                0.02075,                0.07127,                 23.538,                0.06606,                0.06888,                 6.5629,                0.05832,              0.0097624,              0.0097624,              0.0097624
                     27,                 2.2064,                 2.5711,                  1.871,                 2.2747,                 2.9026,                  1.729,                0.09857,                0.07958,                0.02956,                0.01239,                0.07323,                 50.918,                0.06669,                0.07507,                 10.636,                0.05848,              0.0097525,              0.0097525,              0.0097525
                     28,                 2.2623,                 2.4138,                 1.9486,                 2.2318,                 2.8607,                  1.773,                0.13147,                0.09689,                0.06425,                 0.0266,                0.07097,                 24.772,                0.06578,                0.07078,                 4.8017,                0.05882,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.2721,                 2.4019,                 1.9332,                 2.2051,                  2.866,                 1.7468,                0.17998,                0.12803,                0.08223,                0.03194,                0.06939,                 10.339,                0.06212,                0.06901,                  3.339,                0.05709,              0.0097327,              0.0097327,              0.0097327
                     30,                 2.1937,                 2.5403,                 1.8931,                 2.1858,                 2.9227,                 1.7469,                0.15535,                0.16609,                0.07138,                0.02553,                0.06894,                 42.064,                0.06265,                0.06941,                 10.676,                0.05679,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.1715,                 2.2161,                 1.8569,                 2.1862,                 2.6709,                 1.7079,                0.10132,                0.11765,                0.03659,                0.01154,                0.07506,                 34.543,                0.06497,                0.07331,                 7.9497,                0.05942,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.2234,                 2.4188,                 1.8959,                 2.2338,                  2.927,                 1.7358,                0.13177,                0.08304,                0.05694,                0.02335,                0.06836,                 34.681,                0.06247,                0.06954,                 7.1252,                0.05602,               0.009703,               0.009703,               0.009703
                     33,                 2.1567,                 2.3491,                 1.8691,                 2.1412,                 2.7473,                 1.6977,                0.24825,                0.12111,                0.09578,                0.03596,                 0.0717,                0.44812,                0.06438,                 0.0726,                0.23955,                0.05879,              0.0096931,              0.0096931,              0.0096931
