epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.222,1.31423,1.31174,1.30458,0.65659,0.5247,0.58246,0.34758,1.29482,1.23795,1.27319,0.00332944,0.00332944,0.00332944
2,838.673,1.28088,1.1519,1.2758,0.62612,0.54567,0.5778,0.33621,1.35439,1.36582,1.33586,0.00665947,0.00665947,0.00665947
3,1245.98,1.3581,1.21015,1.33045,0.57936,0.45416,0.47782,0.26016,1.57492,1.63325,1.54259,0.00998621,0.00998621,0.00998621
