epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2302.58,2.67504,2.78038,2.35327,0.29856,0.27962,0.19956,0.07428,3.17618,2.61169,3.12435,0.00331776,0.00331776,0.00331776
2,4097.32,2.07176,2.03043,1.81623,0.40188,0.33669,0.29265,0.12277,3.05304,2.33685,2.96668,0.00664451,0.00664451,0.00664451
3,6002,1.91243,1.7375,1.65368,0.50064,0.3521,0.34767,0.16247,2.95917,2.252,3.22733,0.00996465,0.00996465,0.00996465
4,7902.1,1.83888,1.63732,1.59592,0.49996,0.38709,0.37375,0.17671,2.83421,2.39611,2.71238,0.0099703,0.0099703,0.0099703
5,9766.69,1.76165,1.55694,1.53968,0.58728,0.4585,0.47098,0.23953,2.72428,1.86378,2.7795,0.0099604,0.0099604,0.0099604
6,11616.6,1.70733,1.49833,1.50825,0.62922,0.46041,0.49238,0.26253,2.71442,1.79613,2.82748,0.0099505,0.0099505,0.0099505
7,13431.6,1.67029,1.46077,1.48203,0.62245,0.46977,0.5046,0.27569,2.61458,1.70544,2.69803,0.0099406,0.0099406,0.0099406
8,15294.4,1.64018,1.43112,1.4641,0.6252,0.4656,0.50741,0.27434,2.65588,1.6861,2.72852,0.0099307,0.0099307,0.0099307
9,17176.1,1.62186,1.40754,1.44986,0.59043,0.46377,0.4873,0.26425,2.64809,1.67449,2.76106,0.0099208,0.0099208,0.0099208
10,19054.3,1.59977,1.38448,1.43545,0.61197,0.47556,0.50725,0.28926,2.59847,1.64459,2.76843,0.0099109,0.0099109,0.0099109
11,20875.2,1.58891,1.37523,1.42673,0.65279,0.49857,0.54845,0.31358,2.5795,1.56511,2.59246,0.009901,0.009901,0.009901
12,22762.2,1.57453,1.35751,1.41756,0.66119,0.51563,0.56697,0.32723,2.51293,1.5118,2.49508,0.0098911,0.0098911,0.0098911
13,24694,1.55683,1.33714,1.40685,0.65199,0.48914,0.54349,0.31267,2.56019,1.57541,2.80188,0.0098812,0.0098812,0.0098812
14,26569.9,1.55065,1.3339,1.40082,0.64283,0.51494,0.55105,0.31166,2.53785,1.61892,2.73278,0.0098713,0.0098713,0.0098713
15,28415.7,1.53869,1.31934,1.391,0.64054,0.51726,0.55872,0.31639,2.51763,1.54862,2.64917,0.0098614,0.0098614,0.0098614
16,30269.3,1.52824,1.30698,1.38418,0.66132,0.52359,0.57372,0.33667,2.52266,1.49311,2.56644,0.0098515,0.0098515,0.0098515
17,32205.3,1.52648,1.30782,1.38461,0.66669,0.52938,0.58327,0.34523,2.48165,1.45296,2.61552,0.0098416,0.0098416,0.0098416
18,34013.1,1.51953,1.30013,1.3783,0.66304,0.53023,0.58036,0.34175,2.47254,1.48083,2.48715,0.0098317,0.0098317,0.0098317
19,35868.8,1.50783,1.28404,1.37005,0.66282,0.52716,0.57476,0.34096,2.48717,1.47299,2.56711,0.0098218,0.0098218,0.0098218
20,37759.6,1.50619,1.28339,1.36619,0.67007,0.54133,0.59457,0.35379,2.46536,1.44292,2.55059,0.0098119,0.0098119,0.0098119
21,39651.4,1.49675,1.27596,1.3626,0.67617,0.54749,0.59816,0.35821,2.46375,1.41871,2.63917,0.009802,0.009802,0.009802
22,41471,1.49388,1.27464,1.35829,0.63935,0.52453,0.56546,0.33473,2.49688,1.48808,2.51416,0.0097921,0.0097921,0.0097921
23,43295,1.48479,1.26475,1.35228,0.6506,0.54125,0.58312,0.34645,2.46079,1.47877,2.44081,0.0097822,0.0097822,0.0097822
24,45227.5,1.478,1.25665,1.34751,0.68066,0.54264,0.60184,0.36497,2.44121,1.42822,2.48829,0.0097723,0.0097723,0.0097723
25,47075,1.47602,1.24781,1.34726,0.67917,0.55188,0.60607,0.36425,2.44007,1.40835,2.60659,0.0097624,0.0097624,0.0097624
26,48967.5,1.47407,1.25441,1.34658,0.67777,0.5529,0.60555,0.36858,2.43579,1.40745,2.50249,0.0097525,0.0097525,0.0097525
27,50863.8,1.46672,1.24438,1.33936,0.68958,0.54882,0.61189,0.37159,2.42329,1.39605,2.58913,0.0097426,0.0097426,0.0097426
28,52795.1,1.46289,1.24037,1.33588,0.68753,0.55129,0.60856,0.37374,2.41161,1.40572,2.45035,0.0097327,0.0097327,0.0097327
29,54670.6,1.45968,1.23686,1.33438,0.67181,0.56545,0.61556,0.37865,2.41289,1.39893,2.44001,0.0097228,0.0097228,0.0097228
30,56555.3,1.45733,1.23683,1.33501,0.67498,0.56265,0.61432,0.37891,2.40253,1.38597,2.48218,0.0097129,0.0097129,0.0097129
31,58565.7,1.4569,1.23275,1.3304,0.68205,0.56414,0.61824,0.3809,2.40879,1.38517,2.53562,0.009703,0.009703,0.009703
32,60546.1,1.44852,1.2253,1.32469,0.68124,0.56822,0.61868,0.38315,2.38615,1.37897,2.48134,0.0096931,0.0096931,0.0096931
33,62428.5,1.44606,1.22268,1.32407,0.68775,0.56204,0.62073,0.38405,2.39452,1.37049,2.47011,0.0096832,0.0096832,0.0096832
34,64334.9,1.44722,1.2224,1.32117,0.68509,0.57286,0.62441,0.38801,2.37917,1.36679,2.44386,0.0096733,0.0096733,0.0096733
35,66394.6,1.44715,1.2227,1.32151,0.69332,0.56536,0.62435,0.38775,2.38048,1.37728,2.45259,0.0096634,0.0096634,0.0096634
36,68370.8,1.44309,1.21506,1.32076,0.6914,0.57354,0.63123,0.39312,2.37357,1.35235,2.48037,0.0096535,0.0096535,0.0096535
37,70375.9,1.43912,1.21763,1.32072,0.68757,0.57413,0.62848,0.39073,2.38055,1.36606,2.48679,0.0096436,0.0096436,0.0096436
38,72314.8,1.43802,1.21427,1.31646,0.68955,0.5732,0.6298,0.3936,2.37114,1.36385,2.52501,0.0096337,0.0096337,0.0096337
