                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.5543,                 1.3923,                 1.3555,                 1.7702,                 1.8021,                  1.326,                0.09576,                0.04498,                0.01505,                0.00464,                 3.5434,                  8.432,                 4.7206,                 3.2814,                 4.9313,                 4.0313,              0.0013008,              0.0013008,              0.0013008
                     24,                 1.5779,                 1.4614,                 1.4021,                 1.7499,                 1.8358,                 1.3577,                 0.0306,                0.02768,                0.00727,                0.00215,                 4.2124,                 8.8979,                  6.648,                 4.0408,                 8.8383,                 8.8513,              0.0013553,              0.0013553,              0.0013553
                     25,                 1.5682,                 1.5417,                 1.3828,                 1.7028,                 1.9166,                 1.3427,                0.02125,                0.02076,                0.00439,                0.00134,                 3.5897,                  5.637,                 3.8456,                 3.3203,                 6.5115,                 3.8429,              0.0014097,              0.0014097,              0.0014097
                     26,                 1.5245,                 1.4247,                 1.3371,                 1.7324,                  1.809,                 1.3185,                 0.0911,                0.09689,                0.02764,                0.00883,                 3.0772,                 7.1231,                 2.9578,                 2.8274,                 4.7939,                  2.689,              0.0014638,              0.0014638,              0.0014638
                     27,                 1.5559,                 1.3553,                 1.3899,                 1.7684,                 1.7415,                 1.3421,                0.14185,                0.02076,                 0.0139,                0.00654,                 3.5855,                 14.352,                 3.6874,                 3.2804,                 5.7645,                 3.2504,              0.0015176,              0.0015176,              0.0015176
                     28,                 1.5531,                 1.3969,                 1.3789,                 1.7499,                 1.7293,                 1.3458,                  0.004,                0.18685,                0.00373,                0.00118,                 3.9086,                 37.082,                 5.1502,                 3.4183,                 6.0927,                 4.8353,              0.0015713,              0.0015713,              0.0015713
                     29,                  1.579,                 1.4058,                 1.3836,                 1.8014,                 1.7547,                 1.3653,                0.16987,                0.01038,                0.00639,                 0.0015,                 3.9889,                 10.681,                   5.93,                 3.4766,                 5.3378,                 4.6894,              0.0016246,              0.0016246,              0.0016246
                     30,                 1.5691,                 1.3968,                 1.3748,                 1.7405,                  1.688,                 1.3322,                 0.1745,                0.01384,                0.00873,                0.00386,                 3.1841,                 4.4562,                 3.1133,                 3.1484,                 4.8803,                  3.095,              0.0016778,              0.0016778,              0.0016778
                     31,                 1.5538,                 1.4247,                 1.3569,                 1.7423,                 1.7174,                 1.3172,                0.13612,                 0.0519,                0.02221,                0.00728,                 3.1554,                 5.3041,                 3.1736,                 2.9146,                 4.4971,                 2.5008,              0.0017307,              0.0017307,              0.0017307
                     32,                 1.5506,                 1.4467,                 1.3747,                 1.7393,                 1.7491,                 1.3394,                0.09538,                0.22837,                0.04486,                0.01595,                 2.4411,                  18.42,                 2.5982,                   2.59,                 10.148,                 2.3541,              0.0017834,              0.0017834,              0.0017834
                     33,                 1.5154,                 1.4273,                  1.348,                  1.729,                 1.8052,                 1.3229,                0.16596,                0.20415,                0.08512,                0.03116,                 2.3137,                 19.627,                 2.9013,                 2.4025,                 7.9205,                  2.658,              0.0018358,              0.0018358,              0.0018358
                     34,                 1.6326,                 1.4935,                 1.3902,                 1.8559,                 1.8529,                  1.342,                0.13391,                0.19723,                0.07988,                0.02813,                 2.4214,                 16.318,                 2.8433,                 2.4876,                  6.484,                 2.6512,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.5258,                 1.4231,                 1.3643,                 1.7464,                 1.7994,                 1.3312,                0.13329,                0.20069,                0.06904,                0.02404,                 2.6514,                 13.008,                 3.0182,                 2.7418,                 6.4408,                  2.778,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.5773,                 1.4148,                  1.361,                  1.786,                 1.7649,                 1.3169,                0.10177,                 0.2872,                0.06647,                 0.0213,                 2.4265,                 43.461,                 3.3672,                 2.6094,                 12.817,                 3.1684,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.5154,                 1.3925,                 1.3489,                 1.7584,                 1.7327,                 1.3285,                 0.0609,                0.20761,                 0.0319,                0.00991,                 2.6392,                 20.729,                 2.8367,                 2.7641,                 8.9805,                 2.4506,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.4871,                  1.372,                 1.3156,                 1.7343,                 1.6684,                 1.2981,                0.08224,                 0.0519,                 0.0116,                0.00405,                 3.2139,                 10.837,                 4.8005,                  3.314,                 5.3642,                 3.5728,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.5007,                 1.3367,                 1.3195,                 1.7403,                 1.7298,                 1.3174,                0.11812,                0.22491,                0.07662,                0.02644,                 2.4635,                 15.823,                 2.5756,                 2.6003,                 5.9591,                 2.2952,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.4494,                 1.3142,                 1.3017,                 1.6732,                 1.6632,                 1.2849,                0.19452,                0.22491,                0.11084,                0.03766,                 2.2721,                 20.037,                 2.5202,                 2.4751,                  8.918,                 2.3298,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.4626,                 1.2893,                 1.3247,                 1.6886,                 1.6633,                  1.311,                0.13114,                0.22837,                 0.0858,                0.03002,                 2.3717,                 15.967,                 2.3837,                 2.4552,                 7.2502,                 2.1416,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.4599,                  1.271,                 1.2997,                 1.6869,                 1.6346,                 1.2825,                0.22004,                0.24913,                0.12959,                0.04994,                 2.2229,                 11.017,                  2.205,                 2.3113,                 7.3654,                  1.901,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.4725,                 1.3032,                 1.2973,                 1.6739,                 1.6996,                 1.2751,                0.14948,                0.28028,                0.10263,                0.03183,                 2.4665,                 11.731,                 2.3113,                  2.478,                 7.9453,                 2.0168,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.4377,                 1.2353,                 1.3018,                 1.6467,                 1.5787,                 1.2623,                0.14729,                 0.2526,                  0.123,                0.04692,                 2.4375,                 10.587,                 2.3696,                 2.4975,                 8.9171,                 2.0821,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.4486,                 1.2338,                 1.3062,                 1.6974,                 1.5192,                 1.2881,                0.19695,                0.25606,                0.13744,                0.05644,                 2.4795,                 7.6084,                 2.3728,                 2.4801,                 5.4726,                 2.0864,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.4425,                 1.2638,                 1.2927,                  1.696,                 1.5478,                 1.3097,                0.28019,                0.22145,                0.16185,                0.06824,                 2.3283,                 8.5764,                 2.2521,                 2.4282,                 7.1284,                 2.0309,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.4348,                 1.2211,                 1.2852,                  1.711,                 1.5332,                 1.2755,                0.22774,                0.22837,                0.15222,                0.06706,                 2.5118,                 7.2163,                  2.547,                 2.5854,                 6.9285,                  2.114,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.4506,                 1.1838,                 1.2952,                 1.7002,                  1.466,                 1.2799,                0.23371,                0.17647,                0.11749,                0.04513,                 2.5941,                 4.8532,                 2.3821,                 2.5614,                 6.2709,                 2.1122,              0.0018178,              0.0018178,              0.0018178
