                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3774,                 1.6076,                 1.2635,                  1.567,                 1.9812,                 1.2419,                0.56141,                 0.4385,                0.45134,                 0.2224,                 1.7991,                 1.5138,                 1.5765,                 1.9292,                 2.0264,                 1.4749,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4159,                 1.5464,                 1.2741,                 1.6296,                 1.9331,                 1.2418,                0.55044,                0.44291,                0.44414,                0.22508,                 1.7955,                 1.5282,                 1.5744,                 1.9225,                 2.0292,                 1.4989,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      3,                 1.2353,                 1.3288,                 1.1704,                 1.4669,                 1.6576,                 1.1578,                0.53987,                0.50173,                0.45521,                0.21394,                 1.8227,                  1.535,                 1.5928,                 1.9786,                 2.0623,                 1.4989,             0.00015937,             0.00015937,             0.00015937
                      4,                 1.1596,                 1.1063,                  1.113,                 1.3915,                  1.374,                 1.1154,                0.45163,                0.47059,                0.37581,                0.16761,                 1.9507,                 1.7977,                 1.7356,                 2.1319,                 2.2646,                 1.6429,             0.00021869,             0.00021869,             0.00021869
                      5,                 1.0748,                0.90795,                 1.0515,                 1.3421,                 1.1659,                 1.0709,                0.44408,                0.46713,                0.34711,                0.16089,                 1.9311,                 1.9071,                 1.7328,                 2.1307,                 2.3881,                 1.6308,             0.00027778,             0.00027778,             0.00027778
                      6,                 1.0051,                0.79475,                 1.0235,                 1.2773,                 1.0629,                  1.036,                0.51357,                0.45675,                0.35844,                0.16812,                 1.8637,                 2.0103,                 1.6669,                 2.0287,                 2.5796,                 1.5709,             0.00033663,             0.00033663,             0.00033663
                      7,                 1.0286,                0.76063,                 1.0283,                 1.3119,                 1.0068,                 1.0505,                0.53608,                0.43599,                0.36095,                0.16447,                 1.9076,                 2.0392,                 1.6676,                 2.0638,                 2.6589,                 1.5607,             0.00039525,             0.00039525,             0.00039525
                      8,                0.96698,                 0.7175,                0.99699,                 1.1996,                0.93096,                 1.0157,                0.46596,                0.39792,                0.33017,                0.15269,                 1.9529,                  2.156,                 1.7028,                 2.1003,                 2.7189,                 1.6023,             0.00045362,             0.00045362,             0.00045362
                      9,                0.98693,                0.69705,                0.99019,                 1.2594,                0.93999,                 1.0133,                  0.527,                0.41522,                0.34442,                0.15164,                   1.96,                 2.1372,                 1.7376,                 2.0752,                 2.5918,                 1.6109,             0.00051176,             0.00051176,             0.00051176
                     10,                 0.9575,                0.70943,                 1.0022,                 1.1928,                0.93691,                 1.0176,                0.47455,                   0.45,                0.33996,                0.15209,                 1.9362,                 1.9959,                   1.74,                 2.0419,                  2.458,                 1.5892,             0.00056966,             0.00056966,             0.00056966
                     11,                0.97064,                0.70064,                 1.0038,                  1.252,                0.96892,                 1.0204,                0.44379,                0.44637,                 0.3517,                0.15124,                 1.9644,                 1.7492,                 1.7416,                  2.089,                 2.2573,                 1.6034,             0.00062733,             0.00062733,             0.00062733
                     12,                0.96078,                0.68779,                0.98787,                  1.238,                0.95099,                 1.0069,                0.45848,                0.44637,                 0.3505,                 0.1575,                 1.9171,                 1.7007,                  1.701,                 2.0572,                 2.2416,                 1.5714,             0.00068475,             0.00068475,             0.00068475
                     13,                0.96436,                0.66795,                0.99735,                 1.2739,                0.91118,                 1.0206,                0.50019,                0.40484,                0.34589,                0.15685,                 1.9804,                 1.7324,                 1.7796,                 2.1201,                  2.205,                 1.6433,             0.00074194,             0.00074194,             0.00074194
                     14,                0.95528,                0.67601,                0.99597,                 1.2147,                0.91043,                 1.0128,                0.54287,                0.43599,                0.38158,                0.17007,                 1.9373,                 1.7319,                 1.7051,                 2.0288,                 2.2176,                 1.5657,             0.00079889,             0.00079889,             0.00079889
                     15,                 0.9242,                 0.6675,                0.98122,                 1.1807,                0.87834,                 1.0027,                0.53085,                0.46984,                0.40799,                 0.1861,                 1.9248,                 1.6721,                 1.6958,                 1.9989,                 2.1438,                  1.525,             0.00085561,             0.00085561,             0.00085561
                     16,                0.88945,                0.64438,                0.98126,                 1.1358,                0.85239,                 0.9965,                0.60731,                0.41522,                0.40865,                0.19233,                 1.8996,                 1.6724,                 1.7072,                 1.9677,                 2.1558,                 1.5164,             0.00091208,             0.00091208,             0.00091208
                     17,                0.89055,                0.64182,                0.98102,                 1.1479,                0.84063,                  0.997,                0.60447,                0.44291,                0.42534,                0.18238,                 1.9078,                 1.6082,                 1.7284,                 1.9781,                 2.1888,                 1.5397,             0.00096832,             0.00096832,             0.00096832
                     18,                0.94949,                0.65663,                0.99953,                 1.2224,                0.86524,                 1.0153,                0.52228,                0.44637,                0.40543,                0.17476,                  1.909,                  1.752,                  1.713,                 2.0067,                 2.3062,                 1.5341,              0.0010243,              0.0010243,              0.0010243
                     19,                0.97732,                0.67374,                 1.0058,                 1.2465,                  0.898,                 1.0158,                0.52974,                0.41317,                0.39842,                0.17349,                 1.9101,                 1.8551,                 1.6896,                 2.0253,                 2.3432,                 1.5427,              0.0010801,              0.0010801,              0.0010801
                     20,                0.92259,                 0.6373,                0.98404,                 1.1907,                0.85612,                0.99802,                0.51396,                0.45675,                0.39315,                0.16992,                 1.9113,                 1.7952,                 1.7294,                 2.0374,                 2.3362,                 1.5448,              0.0011356,              0.0011356,              0.0011356
