                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3036,                 3.4907,                 1.8659,                 2.1938,                 4.3539,                 1.5952,                0.00363,                0.16955,                0.00343,                0.00139,                 2.9157,                 3.5177,                 2.4085,                 2.7611,                 4.3293,                 1.9071,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2057,                  3.403,                  1.844,                 2.1054,                 4.1744,                 1.5647,                0.00363,                0.16955,                0.00324,                0.00134,                 2.8829,                  3.524,                    2.4,                 2.7354,                 4.3325,                 1.9188,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 2.2248,                 3.3868,                 1.8702,                 2.1486,                 4.2161,                 1.5962,                 0.0037,                0.17301,                 0.0032,                 0.0013,                 2.8564,                 3.5219,                 2.3895,                 2.6999,                 4.3343,                 1.9126,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.2592,                 3.4134,                 1.8859,                 2.1475,                 4.1897,                 1.5985,                0.00674,                0.31488,                0.02601,                0.01299,                 1.7754,                 3.2041,                 1.4501,                 1.7529,                 4.0631,                 1.2914,             0.00013917,             0.00013917,             0.00013917
                      5,                 1.8921,                 3.2294,                 1.5879,                 1.8356,                 4.0527,                 1.3935,                   0.01,                0.46713,                0.05604,                 0.0255,                 1.7681,                 3.1436,                 1.3487,                 1.6245,                 3.9896,                 1.1984,             0.00017857,             0.00017857,             0.00017857
                      6,                 1.7048,                 2.9636,                 1.4158,                 1.7071,                 3.7617,                 1.2684,                0.01156,                0.53979,                0.07689,                0.03073,                 1.7698,                 3.0997,                 1.3481,                 1.6742,                 3.9223,                 1.1825,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.6802,                 2.7116,                 1.4017,                 1.6591,                 3.6288,                 1.2559,                0.01244,                0.58131,                0.09819,                0.03627,                 1.8058,                 3.0602,                 1.3179,                   1.74,                 3.8671,                 1.1704,             0.00025691,             0.00025691,             0.00025691
                      8,                   1.68,                 2.4585,                 1.4159,                 1.6433,                 3.4346,                 1.2388,                0.01244,                0.58131,                0.10372,                0.05014,                 1.6006,                 3.0292,                 1.2519,                 1.6218,                 3.8609,                  1.144,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.6759,                 2.2886,                 1.4192,                 1.6383,                  3.521,                 1.2322,                0.01304,                  0.609,                0.11142,                0.04564,                 1.7602,                 3.0382,                 1.3087,                 1.7461,                 3.8777,                 1.1749,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.6492,                 2.1287,                 1.3812,                 1.6675,                 3.3779,                 1.2405,                0.01244,                0.58131,                0.08674,                0.05099,                 1.5557,                 3.0596,                 1.3147,                 1.5455,                 3.9022,                 1.1539,             0.00037323,             0.00037323,             0.00037323
                     11,                  1.671,                 2.0295,                 1.4158,                 1.6392,                 3.0988,                 1.2457,                0.01178,                0.55017,                0.08956,                0.04203,                 1.7439,                 3.0432,                 1.3587,                 1.6793,                 3.8897,                  1.213,             0.00041168,             0.00041168,             0.00041168
                     12,                 1.7312,                 1.9542,                 1.3662,                 1.6707,                 3.0145,                 1.2091,                 0.0123,                0.57439,                0.10158,                0.05271,                   1.62,                 3.0224,                 1.3218,                 1.5959,                 3.9111,                 1.1778,             0.00044998,             0.00044998,             0.00044998
                     13,                 1.7168,                 1.9635,                 1.4125,                 1.6042,                 3.0984,                 1.2333,                0.01163,                0.54325,                0.09038,                0.04832,                 1.7587,                 3.0475,                 1.5114,                 1.6708,                 3.9553,                 1.2796,             0.00048812,             0.00048812,             0.00048812
                     14,                 1.6001,                 1.8527,                 1.3731,                 1.5891,                 3.0348,                 1.2229,                0.01156,                0.53979,                0.07829,                0.03677,                 1.6767,                 3.0055,                 1.3964,                 1.6786,                 3.8975,                 1.1973,              0.0005261,              0.0005261,              0.0005261
                     15,                 1.6024,                 1.8142,                 1.3654,                 1.5929,                 2.9496,                 1.2066,                0.01178,                0.55017,                0.08255,                 0.0367,                 1.8422,                 3.0203,                 1.5106,                  1.801,                 3.8817,                 1.2753,             0.00056392,             0.00056392,             0.00056392
                     16,                 1.6124,                 1.8309,                 1.3803,                 1.6322,                 2.9671,                 1.2493,                0.01193,                0.55709,                0.09925,                0.04711,                 1.7051,                 2.9088,                 1.3934,                   1.74,                 3.8403,                 1.2379,             0.00060159,             0.00060159,             0.00060159
                     17,                 1.6367,                 1.7615,                 1.3639,                 1.6572,                 2.8228,                 1.2265,                0.01178,                0.55017,                0.12267,                0.05336,                 1.8252,                  2.859,                 1.4613,                 1.7905,                 3.8332,                 1.2364,             0.00063909,             0.00063909,             0.00063909
                     18,                 1.6097,                 1.7527,                 1.3655,                 1.6155,                 2.8116,                  1.226,                0.31145,                0.12803,                0.11722,                0.05492,                 1.7364,                 2.8169,                 1.4565,                 1.7238,                 3.8337,                 1.2652,             0.00067644,             0.00067644,             0.00067644
                     19,                 1.5587,                 1.7239,                 1.3285,                 1.6418,                 2.7738,                 1.2141,                0.52772,                0.04152,                0.10276,                0.04319,                 1.8202,                   2.86,                 1.4823,                 1.8023,                 3.8692,                 1.3078,             0.00071363,             0.00071363,             0.00071363
                     20,                 1.5783,                  1.704,                   1.31,                 1.6214,                 2.7265,                 1.1954,                 0.5365,                0.05609,                0.10374,                 0.0477,                 1.7697,                 2.8619,                 1.5402,                 1.7238,                 3.8539,                 1.2798,             0.00075066,             0.00075066,             0.00075066
                     21,                 1.5321,                  1.691,                 1.3188,                 1.6098,                 2.6382,                 1.2021,                0.43627,                0.05625,                0.10591,                0.04458,                 1.7532,                 2.7759,                 1.5052,                  1.693,                 3.8093,                 1.2409,             0.00078753,             0.00078753,             0.00078753
                     22,                 1.5121,                 1.6363,                 1.2935,                 1.5972,                 2.6454,                 1.1803,                0.58829,                 0.0346,                  0.087,                0.03883,                 1.9171,                 2.9261,                 1.7663,                 1.8405,                 3.9525,                 1.3691,             0.00082424,             0.00082424,             0.00082424
                     23,                  1.521,                  1.687,                 1.3212,                 1.5657,                 2.7055,                  1.198,                0.45516,                 0.0692,                 0.0998,                0.04367,                 1.7829,                 2.7981,                 1.5292,                 1.7228,                  3.797,                 1.3022,              0.0008608,              0.0008608,              0.0008608
                     24,                 1.5651,                 1.7003,                 1.3215,                 1.6372,                 2.7629,                 1.2086,                0.51419,                0.04398,                0.08394,                0.03063,                  1.914,                 2.9631,                 1.7714,                 1.8135,                 3.9388,                 1.4419,             0.00089719,             0.00089719,             0.00089719
