                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.91288,                0.65104,                0.98222,                 1.1843,                0.85639,                 1.0039,                0.53365,                0.42907,                0.38649,                0.16547,                 1.9279,                 1.6951,                 1.7506,                 2.0143,                 2.1695,                 1.5383,             0.00089719,             0.00089719,             0.00089719
                     25,                0.87819,                0.61824,                0.97575,                 1.1149,                0.81599,                0.99141,                0.51711,                0.43599,                0.37813,                0.16641,                 1.9114,                 1.7038,                 1.7199,                 2.0435,                 2.1481,                  1.576,             0.00093343,             0.00093343,             0.00093343
                     26,                0.88609,                 0.6305,                0.96992,                 1.1813,                0.86096,                0.99099,                0.48711,                0.45329,                0.34795,                 0.1558,                 1.9511,                 1.6572,                 1.8015,                 2.0381,                 2.2166,                 1.5819,             0.00096951,             0.00096951,             0.00096951
                     27,                0.89036,                0.61799,                0.97371,                 1.1725,                0.83601,                0.99414,                0.52462,                0.41869,                0.34586,                0.15614,                 1.9351,                 1.6739,                 1.7805,                  2.009,                 2.2201,                  1.597,              0.0010054,              0.0010054,              0.0010054
                     28,                0.89304,                0.64213,                0.95703,                 1.1415,                0.87881,                0.97575,                0.52727,                0.41176,                0.35663,                0.15803,                 1.8613,                 1.7199,                 1.6991,                 1.9559,                 2.2809,                 1.5386,              0.0010412,              0.0010412,              0.0010412
                     29,                0.92152,                0.64438,                0.99465,                 1.1979,                0.86975,                 1.0199,                0.57364,                0.41434,                0.37148,                0.16325,                 1.8391,                 1.7228,                 1.6921,                 1.9283,                 2.3053,                  1.503,              0.0010768,              0.0010768,              0.0010768
                     30,                0.87134,                0.62018,                0.95945,                 1.1638,                0.83189,                0.97721,                 0.5287,                0.43599,                0.38279,                0.16871,                 1.9119,                 1.7349,                 1.7351,                 1.9325,                 2.3097,                 1.5223,              0.0011122,              0.0011122,              0.0011122
                     31,                  0.929,                0.65301,                0.98581,                 1.2182,                0.88514,                 1.0008,                0.50731,                0.43468,                0.36338,                 0.1666,                  1.939,                 1.7669,                 1.7505,                 1.9672,                 2.3029,                  1.538,              0.0011475,              0.0011475,              0.0011475
                     32,                0.94223,                0.65374,                0.99519,                 1.2155,                0.87646,                 1.0174,                0.54893,                0.42561,                0.40825,                0.18604,                 1.8918,                 1.6641,                 1.7258,                 1.9617,                 2.2614,                 1.5412,              0.0011827,              0.0011827,              0.0011827
                     33,                0.91086,                0.65693,                0.97499,                 1.2197,                0.87266,                0.99823,                0.54154,                0.43734,                0.39887,                0.18423,                 1.8986,                 1.7232,                 1.7382,                 1.9746,                 2.3097,                 1.5443,              0.0012176,              0.0012176,              0.0012176
                     34,                0.91955,                0.63645,                0.97394,                 1.1906,                0.85975,                 0.9874,                0.54541,                 0.4083,                0.38474,                0.17377,                 1.8816,                 1.7845,                  1.721,                 1.9923,                 2.3477,                  1.565,              0.0012524,              0.0012524,              0.0012524
                     35,                 0.9064,                0.65242,                0.98223,                 1.1887,                0.84453,                0.99775,                0.54444,                0.36678,                 0.3472,                  0.162,                 1.8875,                 1.8047,                 1.6997,                  1.995,                 2.4108,                 1.5434,              0.0012871,              0.0012871,              0.0012871
                     36,                 0.8621,                0.62916,                0.97289,                 1.1067,                0.80742,                0.99059,                0.55496,                0.35294,                0.33538,                0.15808,                 1.9624,                 1.8993,                 1.7568,                 1.9667,                  2.532,                 1.5312,              0.0013216,              0.0013216,              0.0013216
                     37,                0.93747,                0.64795,                0.98563,                 1.1982,                0.86951,                 1.0011,                0.56123,                0.38408,                0.35007,                0.15813,                 1.9327,                 1.8362,                 1.7478,                   1.98,                 2.5103,                 1.5556,              0.0013559,              0.0013559,              0.0013559
                     38,                0.93386,                0.65162,                0.97903,                 1.2221,                0.86937,                0.99534,                0.55648,                0.42215,                0.38882,                0.17904,                 1.8888,                 1.8271,                 1.6865,                 1.9237,                 2.6521,                 1.5107,              0.0013901,              0.0013901,              0.0013901
                     39,                 0.9228,                0.64349,                0.98499,                  1.192,                0.85051,                 0.9974,                0.57492,                0.43523,                0.39456,                0.18685,                 1.7989,                 1.8006,                 1.6133,                 1.9234,                 2.5059,                 1.5094,              0.0014241,              0.0014241,              0.0014241
                     40,                0.90371,                0.62257,                0.97118,                 1.1683,                0.82304,                0.98587,                0.69942,                0.39446,                0.42009,                0.19468,                   1.82,                 1.7744,                  1.622,                  1.946,                  2.335,                 1.4935,               0.001458,               0.001458,               0.001458
                     41,                 0.8968,                0.62409,                 0.9708,                 1.1793,                0.80872,                0.99311,                0.61744,                0.42907,                 0.4065,                0.19288,                 1.8327,                 1.6662,                 1.6281,                 1.9396,                 2.2851,                 1.4892,              0.0014917,              0.0014917,              0.0014917
                     42,                0.92277,                0.62715,                0.98274,                 1.1858,                0.82316,                0.99904,                0.54332,                 0.4693,                0.40493,                0.18631,                 1.8356,                 1.6619,                  1.672,                 1.9768,                 2.2489,                 1.5496,              0.0015252,              0.0015252,              0.0015252
                     43,                0.89677,                0.62267,                0.98393,                 1.1373,                0.80431,                  1.007,                0.55504,                0.46367,                0.38941,                0.17458,                 1.9766,                  1.732,                  1.832,                 2.0515,                 2.2878,                 1.6391,              0.0015586,              0.0015586,              0.0015586
                     44,                0.89758,                0.62558,                0.98687,                 1.1685,                0.80823,                 1.0042,                 0.5612,                0.46466,                0.38359,                 0.1822,                 1.9473,                 1.7117,                  1.779,                 2.0143,                 2.2723,                 1.6178,              0.0015919,              0.0015919,              0.0015919
                     45,                0.92641,                0.64848,                0.98587,                 1.1819,                0.84958,                 1.0073,                0.58307,                  0.391,                0.38448,                0.19229,                 1.8669,                 1.7443,                 1.6643,                 1.9922,                 2.2062,                 1.5289,              0.0016249,              0.0016249,              0.0016249
                     46,                 0.9268,                0.63497,                0.97098,                    1.2,                0.84693,                0.98573,                0.49975,                0.37679,                0.32942,                0.16817,                 1.8824,                  1.768,                  1.711,                 1.9869,                 2.2653,                  1.556,              0.0016578,              0.0016578,              0.0016578
                     47,                0.94919,                0.65555,                0.98422,                 1.2091,                0.85284,                0.99724,                0.43051,                0.41068,                0.31356,                0.15218,                 1.9062,                 1.8046,                 1.7224,                 2.0172,                 2.2989,                 1.6014,              0.0016906,              0.0016906,              0.0016906
                     48,                0.93472,                0.64922,                0.99608,                 1.1621,                0.85726,                 1.0164,                 0.4756,                0.38408,                0.33496,                0.15883,                 1.9365,                 1.6538,                 1.7337,                  2.091,                 2.2617,                  1.613,              0.0017232,              0.0017232,              0.0017232
                     49,                0.92304,                0.64563,                0.97874,                 1.1697,                0.84768,                0.99508,                0.49665,                0.39792,                0.35262,                0.16161,                 1.8325,                  1.678,                 1.6699,                 2.0343,                 2.2299,                 1.5986,              0.0017556,              0.0017556,              0.0017556
                     50,                0.92545,                0.64668,                0.97793,                 1.2111,                0.85874,                0.99997,                0.53692,                 0.3564,                  0.334,                0.15417,                 1.8546,                 1.7407,                 1.6944,                 2.0598,                 2.2096,                 1.5797,              0.0017879,              0.0017879,              0.0017879
                     51,                0.94203,                0.66193,                0.98038,                 1.2029,                0.86488,                0.99801,                0.53256,                0.41522,                0.38136,                0.17209,                 1.8472,                 1.7148,                 1.7036,                 1.9628,                 2.2052,                 1.5152,               0.001802,               0.001802,               0.001802
                     52,                0.90661,                0.63588,                0.97585,                 1.1784,                0.83858,                0.99617,                0.45745,                0.43178,                0.35775,                0.16779,                 1.8995,                 1.6983,                 1.7708,                 2.0466,                 2.2481,                 1.6057,               0.001802,               0.001802,               0.001802
                     53,                0.94844,                0.66325,                 1.0066,                 1.2025,                0.85171,                 1.0285,                0.54074,                0.42215,                0.39522,                0.18875,                 1.8658,                 1.6758,                 1.7571,                 2.0207,                 2.2061,                 1.5946,               0.001798,               0.001798,               0.001798
                     54,                0.93058,                0.63378,                0.98537,                 1.1857,                0.82155,                 1.0053,                0.51111,                0.43599,                 0.3968,                0.18653,                 1.8211,                 1.6588,                  1.694,                 2.0374,                 2.2583,                 1.6166,              0.0017941,              0.0017941,              0.0017941
                     55,                0.92412,                0.64172,                0.99759,                 1.1666,                0.84533,                 1.0188,                0.52542,                0.39446,                0.38847,                0.18275,                 1.8816,                 1.7832,                 1.7339,                 1.9982,                 2.2773,                 1.5656,              0.0017901,              0.0017901,              0.0017901
                     56,                0.94443,                0.66246,                0.99856,                 1.1979,                0.85974,                 1.0157,                0.61068,                0.36678,                0.37742,                0.18194,                 1.8538,                 1.6889,                 1.6695,                 2.0128,                 2.2064,                 1.6146,              0.0017862,              0.0017862,              0.0017862
                     57,                0.89547,                 0.6232,                0.96445,                 1.1716,                0.80151,                0.98772,                0.49136,                0.37024,                0.31981,                0.15899,                 1.9339,                 1.7645,                 1.7344,                 2.0379,                 2.3629,                  1.607,              0.0017822,              0.0017822,              0.0017822
                     58,                0.89958,                 0.6261,                0.96609,                 1.1866,                0.82791,                0.99278,                0.51257,                0.40138,                0.35381,                0.15939,                 1.9538,                 1.8178,                 1.7778,                 2.0266,                 2.4426,                 1.5951,              0.0017782,              0.0017782,              0.0017782
                     59,                0.93423,                0.66386,                0.99338,                 1.2059,                0.90581,                 1.0137,                0.47416,                0.38754,                0.35159,                 0.1631,                 2.0254,                 1.9056,                 1.8444,                 2.0598,                 2.5411,                 1.5999,              0.0017743,              0.0017743,              0.0017743
                     60,                0.91714,                0.62369,                0.96464,                  1.189,                0.82659,                 0.9878,                 0.5775,                0.33218,                0.33536,                0.15391,                 2.0169,                  1.968,                 1.8211,                 2.0921,                 2.6165,                 1.6248,              0.0017703,              0.0017703,              0.0017703
                     61,                0.91175,                0.64641,                0.97188,                 1.1982,                 0.8461,                0.98956,                0.49598,                0.38062,                0.33918,                0.16161,                 1.9644,                 1.9212,                  1.761,                 2.0492,                 2.5348,                 1.5947,              0.0017664,              0.0017664,              0.0017664
                     62,                0.92309,                0.64248,                  0.969,                 1.2087,                0.83971,                0.99748,                 0.4457,                0.42907,                0.35308,                0.16986,                 1.8934,                 1.8342,                 1.6878,                 2.0368,                 2.4109,                 1.5779,              0.0017624,              0.0017624,              0.0017624
                     63,                0.91808,                 0.6302,                0.97832,                  1.192,                0.81499,                 1.0011,                0.47785,                0.45329,                0.37492,                0.17976,                  1.846,                 1.8334,                 1.6137,                 2.0017,                  2.352,                 1.5275,              0.0017584,              0.0017584,              0.0017584
                     64,                0.87065,                0.61647,                0.95589,                 1.1013,                0.81117,                0.97907,                0.53117,                  0.391,                0.38215,                0.18394,                 1.8458,                 1.7859,                 1.6124,                 2.0015,                 2.3567,                 1.5055,              0.0017545,              0.0017545,              0.0017545
                     65,                0.88497,                0.61471,                0.95812,                 1.1554,                0.80226,                 0.9791,                0.49717,                0.40029,                0.34234,                0.16121,                 1.8862,                 1.8422,                 1.6737,                 2.0379,                 2.3758,                 1.5526,              0.0017505,              0.0017505,              0.0017505
                     66,                0.91056,                0.62392,                0.96339,                 1.1707,                0.81607,                0.98181,                0.47929,                0.41406,                0.34289,                0.15493,                 1.9023,                 1.9934,                 1.6352,                 2.0307,                 2.4716,                 1.5357,              0.0017466,              0.0017466,              0.0017466
                     67,                0.91676,                0.62479,                0.97504,                 1.1745,                0.82804,                  1.002,                0.56396,                 0.3564,                0.33313,                0.15654,                 1.8945,                 1.9951,                 1.6539,                 2.0411,                  2.602,                 1.5488,              0.0017426,              0.0017426,              0.0017426
                     68,                0.89537,                0.62753,                0.97114,                 1.1584,                0.80152,                0.99263,                0.46975,                0.33218,                0.30427,                0.14738,                 1.9793,                 2.1777,                 1.7295,                 2.1029,                 2.8793,                 1.6162,              0.0017386,              0.0017386,              0.0017386
                     69,                0.85687,                0.59199,                0.95562,                  1.106,                0.75655,                0.96858,                 0.4449,                0.37716,                0.32771,                0.16952,                 1.9509,                 1.9384,                 1.7711,                 2.0793,                 2.7678,                 1.6013,              0.0017347,              0.0017347,              0.0017347
                     70,                0.90825,                0.61884,                0.96947,                 1.2019,                0.81497,                0.99653,                0.56818,                  0.391,                0.35839,                0.17683,                 1.9115,                 1.8159,                 1.7385,                 2.0523,                  2.485,                 1.5854,              0.0017307,              0.0017307,              0.0017307
                     71,                0.86997,                0.61241,                0.97086,                 1.1537,                0.79892,                0.98889,                0.51637,                  0.391,                0.32439,                0.15758,                 1.9265,                 1.8454,                 1.7895,                 2.0529,                  2.483,                  1.602,              0.0017268,              0.0017268,              0.0017268
                     72,                0.91295,                0.62322,                0.98243,                 1.1676,                 0.8121,                0.99445,                 0.5065,                0.42616,                0.36115,                0.17206,                 1.9127,                 1.8364,                 1.7572,                 2.0579,                  2.389,                 1.6181,              0.0017228,              0.0017228,              0.0017228
                     73,                0.88099,                0.62094,                0.96148,                 1.1288,                0.80313,                0.98763,                0.50592,                0.41522,                 0.3774,                0.18131,                 1.9354,                 1.7904,                  1.715,                 2.0331,                 2.4984,                 1.5339,              0.0017188,              0.0017188,              0.0017188
                     74,                0.84758,                0.58846,                0.96989,                 1.0882,                0.73896,                0.98977,                0.46527,                0.39446,                0.36165,                0.17259,                 1.9576,                 1.8354,                 1.7458,                 2.0412,                  2.649,                   1.54,              0.0017149,              0.0017149,              0.0017149
                     75,                0.85511,                0.59537,                 0.9501,                 1.1003,                0.77652,                0.97513,                0.51024,                0.40138,                0.35329,                0.16993,                 1.9217,                 1.8111,                 1.7076,                 2.0399,                 2.5682,                 1.5504,              0.0017109,              0.0017109,              0.0017109
                     76,                0.90957,                0.62136,                0.96687,                 1.2053,                0.82531,                0.98272,                0.47114,                0.45329,                0.34896,                0.16522,                 1.9667,                 1.8139,                 1.7643,                 2.0951,                 2.5133,                 1.5983,               0.001707,               0.001707,               0.001707
                     77,                0.88456,                0.60128,                0.96751,                 1.1599,                0.77235,                0.99174,                0.52808,                0.40138,                0.33729,                0.16338,                 1.9557,                 1.7472,                 1.7756,                 2.1263,                 2.4586,                 1.6218,               0.001703,               0.001703,               0.001703
                     78,                 0.9034,                0.61631,                0.97816,                 1.1196,                0.78568,                0.99224,                0.48651,                0.40981,                0.35324,                0.16782,                 1.9882,                 1.7942,                  1.807,                 2.1012,                 2.3791,                 1.6271,               0.001699,               0.001699,               0.001699
